b_size,drop_rate,l2,lr,mixup_0,mixup_1,mixup_2,mixup_3,mom,t_0,result
210,0.12259727833462006,-2.0989377132373095,0.3312134459613887,0.19072537904263545,2.906704891938716,0.43932564541751007,1.5426235477932935,0.2908275405284367,52, 0.8062222222222223
150,0.1869639223459775,-4.24728445313502,-4.661334029281694,2.8289919461451354,2.069195169486556,2.2891433553964537,1.9512231964772138,0.6622058638133407,135, 0.8764444444444445
100,0.1868134546786864,-4.571094299121709,-2.778236533098741,2.5348917524424115,1.8090685109145996,1.476424863132938,0.2867305370285286,0.37494211832684854,22, 0.5595555555555556
170,0.24302067625865734,-3.618001701180834,-1.942501238313577,1.2040452162977715,2.7944587108067505,0.5520645366712023,1.9278589388391376,0.6093738776165482,65, 0.32133333333333325
180,-0.00927929387270797,-4.317246991789871,-3.3081592666671957,0.07691947157602594,2.846736390199582,0.02374028646922366,2.2457742107706045,0.6092557736809276,89, 0.6457777777777778
250,0.3216220514308229,-5.299748856178021,-3.3193751305267902,2.7934623315033416,2.8789898570724795,0.19034811543594268,2.170108263164401,0.7938047561959287,69, 0.7035555555555555
170.0,0.2371564583913659,-3.492784565278853,-1.6340944675323463,1.2487017278094508,2.9999993589878673,0.6290690493985831,1.9140330346441985,0.6336252597140396,65.0, 0.2426666666666667
100.0,0.34061055393254397,-2.7555807094968623,-4.465844909827651,1.217427109594232,0.7623218209583101,1.4436603695358485,0.809565812073996,0.2026659200352478,23.0, 0.88
170.0,-0.003931367932137761,-1.996049240825922,-1.4152529332582526,1.1652061122613395,1.7726534271426497,1.2393024552029095,1.3152411711213061,0.12456251121771961,61.0, 0.15733333333333321
170.0,0.20914586179790753,-3.292281822027971,-1.144131850936963,1.2720548365432551,3.0,0.7908396239243319,1.7757761929375073,0.6567347003112762,65.0, 0.09377777777777774
170.0,0.05695054440479371,-2.074022231873862,-0.44732484239887677,1.3438766068554948,2.8770711249726473,1.2950931192095076,1.468963999546186,0.3767999687473496,62.0, 0.3422222222222223
170.0,0.13270677085969276,-2.7813087557188383,-0.2135512574154834,1.30232243496222,2.8494589334785454,1.152274843990243,1.4503340821381496,0.6508977957491177,65.0, 0.09466666666666668
170.0,0.15989179019636549,-2.98275949520691,-0.371643944894719,1.2934673378202908,2.8972582014017987,1.0563305443347961,1.5216903176837446,0.6906466718248263,65.0, 0.07022222222222219
170.0,0.22686982927992208,-3.5286602120160597,-0.4108949763616005,1.272240063451234,2.984043566709673,0.8855306840108226,1.6015184029760352,0.8671110946746512,65.0, 0.07733333333333337
170.0,-0.054042691534284586,-2.2766244115053027,-1.6721147790327722,0.9246960098260215,0.2816694271671169,1.2836662312256164,0.869772259333325,0.10219369035111044,63.0, 0.15955555555555556
170.0,0.14376817875672018,-2.7538676196024765,-0.7765250768326464,1.3073866823722207,2.959824807028927,1.0232807188987847,1.635432169851852,0.5453765355563133,66.0, 0.06444444444444442
170.0,-0.1,-1.8460668198156236,-2.4551640781169644,0.8727414773325894,-0.1,1.2826000564380546,0.8926193670905854,0.1,60.0, 0.5071111111111113
170.0,-0.09019102579472295,-3.1525148469560587,-1.0329219479150313,1.2069638878451545,2.529506794277434,1.2783945346137022,0.25572647621535227,0.15417477581022768,65.0, 0.1062222222222221
170.0,-0.1,-2.9714436444878523,-0.6069224942994376,1.2695641374995759,1.4911751637232786,1.0796086600219568,1.8153649772653013,0.1,65.0, 0.05377777777777781
170.0,-0.1,-2.9572002586781627,-0.6547614357534707,1.7379284037889775,1.4064759222249337,1.019915703751771,1.6264318305795122,0.1,65.0, 0.059555555555555695
170.0,0.5,-2.459370091831638,-0.6917247789887776,0.061533425493488114,1.641087436293699,0.5545849444632437,1.218161199342689,0.49061967643120424,65.0, 0.26444444444444437
170.0,-0.1,-3.319648731274928,-0.8264469042462783,1.6824978025081132,2.3433348900058864,2.2974267481069837,1.929272054282268,0.1,65.0, 0.10844444444444434
170.0,0.5,-2.2383616364951355,-0.6586110745193531,0.8684616429223327,1.4099134348886715,-0.08085183589719414,0.9917423531800315,0.6234305468908705,65.0, 0.4675555555555555
170.0,-0.1,-3.1374692672572935,-0.5011634928257415,1.670639635621608,2.512335683958433,0.9644235398419612,1.7747288584391232,0.1,65.0, 0.05644444444444452
170.0,-0.1,-3.870948827763505,-0.8283974458195718,1.2015408353465744,0.06121809621220545,2.320409977434446,1.2272698535434394,0.1,65.0, 0.11911111111111117
170.0,-0.1,-3.9318489095748945,-0.8232525622700534,1.2316981169074634,-0.1,2.373431591850149,1.2717594543334352,0.1,65.0, 0.12488888888888894
170.0,-0.1,-3.081013589785112,-0.8102030295538292,0.9386712114079548,1.9812725834862446,1.7606965430257937,1.536625574879263,0.1,65.0, 0.07555555555555549
100.0,0.2022700480789794,-4.0268133044868515,-6.526798383215078,0.6483781299266226,2.33175867976038,1.3429964048609935,1.304190258738768,0.7678466326763477,116.0, 0.8777777777777778
170.0,-0.1,-2.798143405170865,-0.749945267428038,2.2803391863211697,0.22690063606952524,1.8541137107328727,3.0,0.1,64.0, 0.06888888888888889
290.0,0.0298277533675943,-6.912287669433097,-3.229369066802895,2.6294005016766295,-0.03732498441803278,2.258732068073352,2.94364651446376,0.6560375371603513,106.0, 0.6742222222222223
170.0,-0.1,-3.1040920978242332,-0.3176555286094051,2.1870032718330186,0.7036102961503394,1.727199032618236,3.0,0.1,66.0, 0.05555555555555547
170.0,-0.1,-3.121029318352574,-0.43066013530500985,2.0881369232712093,0.7740945209531568,1.702878693225582,2.807121687577995,0.1,65.0, 0.060444444444444634
