alpha,b_size,layer_size,lr,num_layer,result
-6.374186583317566,470,47,-4.463703293842947,11, 0.027972027972028024
-6.904973630651401,340.0,66.0,-1.6000910838591829,1.0, 0.02797202797202798
-1.95809563239506,200.0,81.0,-6.1188840134402405,4.0, 0.4335664335664336
-6.999082755421264,130,63,-4.6969038767341935,11, 0.027972027972028003
-6.41534491547372,340.0,68.0,-2.039809233124731,1.0, 0.02657342657342656
-5.650418676889875,200.0,83.0,-2.940537329061187,6.0, 0.029370629370629352
-5.681199115102221,450,76,-4.3316121231536755,7, 0.0363636363636364
-5.756210576080825,240,99,-4.296396975469357,7, 0.02657342657342656
-4.674026742028795,110,90,-4.537678015025857,7, 0.02797202797202798
-4.184967352041568,200.0,82.0,-4.201948506730139,5.0, 0.023776223776223772
-5.783826154411653,330.0,73.0,-2.7970267490189844,1.0, 0.030769230769230792
-6.59962994393989,340.0,68.0,-2.01948436590247,2.0, 0.03076923076923077
-5.18932681405701,350,86,-3.323541288787852,17, 0.02657342657342656
-4.873373338762312,210,37,-4.55040784598712,17, 0.09930069930069932
-5.214607582227061,480,72,-3.1556819954513364,17, 0.019580419580419582
-3.886454410101257,470.0,44.0,-3.042744384713118,8.0, 0.03076923076923077
-6.739137046970429,470.0,42.0,-3.5479389038245954,12.0, 0.029370629370629397
-5.194301069372419,350,24,-4.321035930334007,17, 0.040559440559440586
-3.7794870251576844,200.0,84.0,-4.550959904739196,7.0, 0.026573426573426585
-1.0873600108641557,390,55,-3.6762618870608605,8, 0.026573426573426605
-4.087096173032268,200.0,83.0,-4.286271154609316,6.0, 0.03916083916083919
-4.3281380339034055,490,87,-3.793985567528669,15, 0.026573426573426585
-3.695798646916087,200.0,84.0,-4.623260165960509,7.0, 0.022377622377622353
-5.743423494664694,470.0,44.0,-3.727564377747389,10.0, 0.039160839160839164
-4.085909134187945,200.0,83.0,-4.287295359509377,6.0, 0.03356643356643359
-2.184617581547815,470.0,45.0,-3.4026160329710127,13.0, 0.03356643356643359
-4.288293976918089,180,98,-3.941329613507852,15, 0.022377622377622374
-5.743759059784658,470.0,44.0,-3.728833592028279,10.0, 0.032167832167832186
-4.571361073161177,50.0,27.0,-3.616205389104967,1.0, 0.03076923076923077
-2.2006566519047017,200.0,87.0,-5.930679165950342,10.0, 0.3594405594405594
-2.141359576258988,480.0,71.0,-4.672473016971122,13.0, 0.027972027972027958
-3.5750471179113865,480.0,75.0,-4.0045522866126575,15.0, 0.026573426573426605
-4.725509379362679,60,45,-4.01175032553613,16, 0.02797202797202798
-2.386208158961394,200.0,87.0,-5.767550870700913,10.0, 0.33706293706293705
-5.393280469558304,320,40,-5.209061882292346,18, 0.5034965034965035
-4.54946521567838,470.0,45.0,-3.7509282108676887,12.0, 0.032167832167832186
-3.3912232484756313,170,74,-5.531940877341199,18, 0.3048951048951049
-4.180195854923624,480.0,73.0,-3.675877301891492,16.0, 0.03356643356643356
-5.007582997665045,230,52,-5.557258253580188,14, 0.565034965034965
-5.621292417831569,350.0,40.0,-3.0155163916872962,1.0, 0.018181818181818167
-4.22370658371924,490.0,82.0,-3.7810691063102873,15.0, 0.03076923076923077
-5.925344962079316,190,20,-2.609083267056317,3, 0.03076923076923077
-3.552822260365631,200.0,85.0,-4.747477438261052,8.0, 0.03076923076923077
-1.4419759636473475,350,40,-2.388390668899355,4, 0.02797202797202798
-4.804886260296177,410.0,22.0,-3.913874931282425,6.0, 0.040559440559440586
-5.9565718491913815,480.0,71.0,-2.793778202355871,17.0, 0.043356643356643354
-5.959111754914335,480.0,71.0,-2.7919600009403727,17.0, 0.032167832167832144
-3.0124031612231468,270,29,-3.2095811898081226,9, 0.026573426573426585
-5.367237653731788,300,51,-1.2115981574662786,2, 0.027972027972027958
-4.211904232332947,490.0,81.0,-3.7794878519638226,15.0, 0.034965034965035
-4.261302451648076,480.0,82.0,-3.7769768641639496,15.0, 0.039160839160839164
-5.035215564198071,90,46,-6.6918344827048335,5, 0.5678321678321679
-5.999948096032336,480.0,77.0,-2.7659914072711893,19.0, 0.029370629370629397
-6.1757936220352665,480.0,77.0,-2.653941899953426,19.0, 0.023776223776223772
-3.2050916201791932,110.0,83.0,-2.1013188531197127,8.0, 0.03356643356643356
-5.24620568757073,480.0,73.0,-3.1200430356092657,18.0, 0.013986013986013979
-4.265826156194584,490.0,85.0,-3.795384201811052,15.0, 0.03776223776223779
-5.50776001886667,220,35,-2.2763860749377676,14, 0.04475524475524475
-6.0031729192411225,310.0,44.0,-3.410757962712632,8.0, 0.026573426573426585
-5.531640595638125,220,89,-2.522988285397236,14, 0.03076923076923077
-4.356869565299436,480.0,77.0,-3.63899610821247,16.0, 0.025174825174825166
-4.094158434265235,110.0,87.0,-3.5156211430958524,7.0, 0.039160839160839164
-3.3918421768457607,230,74,-5.034745938948907,18, 0.022377622377622374
-6.07441920137407,480.0,74.0,-2.5656837589597274,18.0, 0.026573426573426585
-1.0,390.0,59.0,-2.153440947934923,13.0, 0.029370629370629377
-6.458692289991523,120,59,-1.8950673146192978,18, 0.027972027972027958
-2.803374575754592,290,92,-1.7176130117848838,4, 0.02797202797202798
-5.315556840348006,150,54,-1.9332315768059412,18, 0.032167832167832186
-6.117337806254326,300.0,42.0,-3.818088193595268,9.0, 0.029370629370629352
-6.1261585881938405,300.0,42.0,-3.8200706400882387,9.0, 0.026573426573426585
-7.0,120.0,62.0,-3.5561557222631457,12.0, 0.040559440559440565
-6.521648508624839,400,61,-3.2203015112481914,11, 0.025174825174825187
-4.310194311690549,200.0,85.0,-4.078547649361092,8.0, 0.032167832167832186
-4.484783191694385,390.0,60.0,-2.6476810154693475,8.0, 0.029370629370629397
-7.0,120.0,62.0,-3.5386934719128997,12.0, 0.032167832167832144
-4.888779545532639,480.0,72.0,-3.3852929057877508,18.0, 0.03356643356643356
-6.284018735018605,280,50,-4.8636690004565795,3, 0.06293706293706292
-6.235159437760366,400.0,61.0,-2.8981696457282706,10.0, 0.029370629370629377
-6.822452012824273,280,97,-4.172150418165631,3, 0.034965034965035
-7.0,300.0,48.0,-4.019787406826726,7.0, 0.027972027972028003
-3.519257318089793,230.0,76.0,-4.809312542331118,18.0, 0.08251748251748252
-5.130540014945278,80,97,-4.149644846082117,2, 0.022377622377622374
-5.001323080689811,300.0,44.0,-1.0,4.0, 0.05034965034965035
-2.4518513077903994,480.0,73.0,-4.475265508929749,11.0, 0.02797202797202798
-6.735790057697041,430,67,-1.4999372025588353,1, 0.03076923076923077
-1.8746117210222333,390.0,57.0,-3.0649469340693485,9.0, 0.023776223776223772
-5.822900501964106,70,36,-4.44122571692093,2, 0.03916083916083919
-3.36349638276778,380.0,62.0,-1.0,13.0, 0.4461538461538462
-3.1701049010588873,480.0,76.0,-4.470354990373674,8.0, 0.047552447552447544
-4.60665687160075,420,43,-2.2828751711006454,1, 0.040559440559440565
-3.5178320284867746,230.0,76.0,-4.811050857273218,18.0, 0.09090909090909091
-1.9872667761826348,230.0,69.0,-6.183827950461068,19.0, 0.5272727272727272
-5.2951405656123285,290.0,98.0,-4.207739553015717,2.0, 0.025174825174825166
-2.4255254628893357,480.0,73.0,-4.487018330472831,11.0, 0.03356643356643359
-5.273650265869801,250,23,-4.972497613429535,5, 0.3244755244755244
-3.3995468250956664,340.0,65.0,-4.7833092112428295,1.0, 0.11748251748251748
-4.389792313392512,290.0,95.0,-3.160680435174746,3.0, 0.023776223776223748
-4.774412618596669,460,93,-1.3646335750634102,16, 0.38321678321678315
-4.687965442294942,250,30,-5.037203285299698,5, 0.18181818181818182
-1.6679286569839682,280.0,97.0,-1.5164032784665846,3.0, 0.022377622377622374
-5.88003797091041,300.0,49.0,-2.383942645930799,4.0, 0.022377622377622374
-3.973442002404677,360,70,-2.9105074301940923,1, 0.020979020979020956
-3.9496095357640484,480.0,77.0,-4.020594763521605,13.0, 0.036363636363636376
-3.9066427760122244,290.0,97.0,-1.0,6.0, 0.3146853146853147
-5.631673861555142,350,40,-3.0070689466311227,1, 0.01958041958041956
-3.2869017399628975,280.0,97.0,-2.4089328366085607,3.0, 0.026573426573426585
-5.448064188306365,350,88,-1.799706053489887,1, 0.03076923076923077
-4.466139854475523,290.0,93.0,-5.429651742974603,1.0, 0.3622377622377622
-4.462955307567736,290.0,95.0,-3.66271778999462,2.0, 0.01678321678321677
-1.4394226713801812,280.0,95.0,-5.606003157115479,2.0, 0.2601398601398602
-4.463914357242119,290.0,95.0,-3.661322617625491,2.0, 0.023776223776223793
-5.6311345996627775,160,40,-3.333323581372233,1, 0.018181818181818188
-5.304047711413677,350.0,87.0,-2.6255366631830723,9.0, 0.029370629370629397
-6.262863023104608,200.0,82.0,-2.4390703308210844,5.0, 0.03776223776223777
-7.0,460.0,97.0,-5.925885152192861,12.0, 0.4237762237762238
-5.303429347082607,350.0,87.0,-2.6291356416364575,9.0, 0.030769230769230792
-5.408163571008023,350.0,84.0,-2.201645506725136,5.0, 0.03076923076923075
-3.8040629457866135,370,47,-3.2948609655725165,2, 0.023776223776223772
-5.1153044927714,370,38,-3.141632208038422,2, 0.022377622377622374
-5.097596309776545,370,31,-3.3306510921485106,14, 0.025174825174825187
-2.835096845289046,280.0,97.0,-1.2050763205619603,3.0, 0.047552447552447565
-5.394676424875933,480.0,73.0,-3.02302276233059,17.0, 0.032167832167832165
-6.346885747537915,480.0,72.0,-2.8780186356135924,11.0, 0.032167832167832165
-5.3968799100843805,350.0,87.0,-2.140306765445105,5.0, 0.032167832167832165
-3.3156204597968,230.0,73.0,-5.164743292142662,18.0, 0.09790209790209789
-4.251636917063676,370.0,43.0,-2.4779959156756073,2.0, 0.023776223776223772
-4.965935656326138,240,28,-2.791790600381634,19, 0.029370629370629397
-3.3162260297920896,230.0,73.0,-5.163984135474472,18.0, 0.10909090909090913
-5.403983927107796,350.0,83.0,-2.291559529566459,13.0, 0.03076923076923077
-4.79249338537665,370.0,40.0,-2.940202481567835,2.0, 0.02097902097902098
-6.4846833192138895,300.0,45.0,-3.5350233489701406,7.0, 0.03356643356643359
-7.0,460.0,95.0,-4.119457812126802,14.0, 0.026573426573426585
-4.8978054312685755,440,94,-3.452084715921898,19, 0.043356643356643375
-6.912697004334534,120.0,61.0,-1.0,14.0, 0.32867132867132864
-4.477217263069313,290.0,95.0,-3.3673162878031633,2.0, 0.026573426573426605
-4.865043365457847,260,94,-3.9003111937001975,19, 0.03356643356643359
-2.6936868280194655,80.0,99.0,-7.0,1.0, 0.5328671328671329
-5.01878937759237,370.0,34.0,-3.1450496975032998,9.0, 0.032167832167832186
-3.9071963885338454,480.0,72.0,-3.8762433429047043,12.0, 0.030769230769230792
-4.903638944141808,260,94,-4.358052615809411,16, 0.03776223776223777
-4.385485816418327,370.0,39.0,-2.7201904315787004,6.0, 0.029370629370629377
-5.790214540864254,450,91,-1.8872587903160918,10, 0.04475524475524477
-7.0,120.0,62.0,-4.357164500452567,11.0, 0.02797202797202798
-4.296174722803867,370.0,36.0,-2.770025651119486,14.0, 0.02797202797202798
-6.58777064184233,140,96,-4.310797300663298,16, 0.036363636363636376
-6.617413287507585,130,21,-3.2379551931760497,4, 0.026573426573426585
-4.630682535698237,140,56,-4.3162792139702635,16, 0.027972027972027958
-6.358090277643208,120.0,59.0,-2.2611077492694345,19.0, 0.03496503496503498
-7.0,120.0,62.0,-4.349335086923142,11.0, 0.026573426573426585
-1.0,290.0,89.0,-1.0,6.0, 0.16643356643356644
-4.639757219815881,140,41,-4.313595498467012,16, 0.04195804195804196
-6.2785710107256865,350.0,87.0,-1.0,14.0, 0.5062937062937063
-7.0,480.0,77.0,-1.9450556995359336,19.0, 0.08671328671328668
-3.681616858031991,210,80,-3.6699187814319516,18, 0.04195804195804196
-7.0,120.0,63.0,-4.369302074042971,12.0, 0.029370629370629397
-5.090967201188171,350.0,82.0,-2.848120542144916,13.0, 0.03356643356643359
-5.091940184084906,350.0,82.0,-2.8458320157879347,13.0, 0.030769230769230792
-2.1651856106697545,470.0,47.0,-6.112229814650055,9.0, 0.4811188811188812
-4.088934950327318,190,32,-3.073316116134534,17, 0.02657342657342656
-5.951631377031285,120.0,57.0,-4.236291735695378,19.0, 0.025174825174825187
-5.08391923382937,350.0,86.0,-2.957364355651035,8.0, 0.0223776223776224
-5.538874799171779,320,64,-4.671603189527893,1, 0.08671328671328671
-4.30846771599115,470.0,43.0,-2.265391828513358,8.0, 0.01958041958041956
-5.759950454348496,180,20,-3.476486813816817,15, 0.030769230769230792
-4.167087908286214,350.0,85.0,-4.402821141237698,8.0, 0.036363636363636376
-3.688574895666183,210,80,-4.600622230299422,18, 0.09790209790209792
-5.554387137609976,270,58,-3.9855357472798154,10, 0.023776223776223772
-4.964117396050527,350.0,86.0,-3.7746369675606246,17.0, 0.032167832167832144
-5.579755130203532,60,80,-4.627713929180526,18, 0.027972027972028003
-3.0698406861039906,170,55,-3.60666764849463,1, 0.026573426573426585
-5.41284501579055,350.0,84.0,-2.850476582543696,19.0, 0.025174825174825166
-5.216573639557524,430,26,-6.530236311387069,7, 0.4755244755244755
-7.0,480.0,75.0,-5.877172695140226,19.0, 0.5580419580419581
-4.348412463168584,350.0,84.0,-4.890708583568397,18.0, 0.032167832167832144
-5.481446165246507,80.0,97.0,-3.759331536075175,2.0, 0.022377622377622374
-3.5944017401014476,470.0,44.0,-2.6299214642023876,13.0, 0.029370629370629397
-1.4105510892598392,50.0,27.0,-1.0,1.0, 0.019580419580419582
-4.9635807251901305,350.0,86.0,-3.7756299022190527,17.0, 0.029370629370629397
-4.387866100167119,350.0,85.0,-4.884731846423305,18.0, 0.1104895104895105
-6.0580473020814285,90,78,-5.3951910652736705,1, 0.15804195804195803
-6.0510826137523575,310,78,-3.2228655237380286,4, 0.025174825174825187
-4.086837047012052,480.0,74.0,-1.2015100797178637,18.0, 0.476923076923077
-3.6738702100124248,210.0,80.0,-2.372314439379264,18.0, 0.032167832167832165
-4.782082291085578,370.0,39.0,-2.9354130097295905,3.0, 0.01958041958041954
-5.215621191513615,480.0,73.0,-2.727413785317415,18.0, 0.029370629370629397
-5.739971774259438,70,37,-3.2023462193836063,15, 0.029370629370629397
-5.540644861476595,480.0,80.0,-2.8656393801968076,17.0, 0.029370629370629377
-7.0,470.0,46.0,-2.039580105456177,12.0, 0.03916083916083914
-4.789689147058142,370.0,33.0,-3.0925687083410622,13.0, 0.03496503496503496
-4.786130329370312,350.0,82.0,-3.865832821445438,17.0, 0.03496503496503496
-4.720782164068023,100,53,-4.136564355654331,6, 0.03356643356643356
-2.0402451539197703,280.0,99.0,-2.6198048411481993,5.0, 0.023776223776223772
-6.189934152472618,100,25,-3.4325143152721487,1, 0.02797202797202798
-5.007532841336408,350.0,87.0,-3.057762712277658,8.0, 0.02657342657342656
-4.720441508682253,420,25,-4.1307653163420115,6, 0.04475524475524477
-6.459869665070958,150,79,-1.801895969916785,10, 0.03496503496503496
-2.2078605145130714,50.0,27.0,-2.5995996936623484,1.0, 0.025174825174825145
-5.115143580373528,350.0,82.0,-1.7322330494258655,9.0, 0.03496503496503498
-6.970630074467968,370.0,36.0,-4.299848308551967,6.0, 0.03076923076923077
-5.842980907607238,380,52,-3.9543069022779216,10, 0.03776223776223777
-4.385113623685857,350.0,85.0,-4.890119698408146,18.0, 0.026573426573426585
-4.462516739888362,350.0,83.0,-4.6085179712976885,18.0, 0.029370629370629377
