alpha,b_size,layer_size,lr,num_layer,result
-4.506728976240689,380,48,-6.885395285059385,3, 0.5566433566433566
-5.36000613327883,250,48,-5.452739219029391,18, 0.43776223776223777
-5.095957000804523,430,77,-6.485191906089187,8, 0.4769230769230769
-5.126151767170172,350,40,-3.56050115871725,1, 0.01678321678321677
-3.91325802609728,100,78,-1.677099380319241,9, 0.023776223776223772
-5.697370269239877,340,71,-2.7022517903623253,2, 0.032167832167832186
-2.1082501515705907,50,27,-3.3425961229700896,1, 0.02097902097902098
-1.9201714196587263,350,40,-4.108626431110165,1, 0.05174825174825175
-4.85508566349025,370,60,-2.653965115684491,15, 0.032167832167832144
-4.999175855000913,350.0,41.0,-3.783620997529881,1.0, 0.029370629370629377
-3.8592387888479265,100.0,78.0,-1.7408630895839667,9.0, 0.022377622377622374
-3.047551199660843,400,21,-3.625353680555071,4, 0.03496503496503498
-6.187818933119747,350.0,40.0,-3.3638059343612294,1.0, 0.01678321678321677
-6.702090904060935,80,95,-1.091942823429299,5, 0.11328671328671332
-6.02547863629869,360.0,66.0,-1.0,18.0, 0.462937062937063
-3.217141611881116,100.0,78.0,-2.4987884097817474,9.0, 0.026573426573426585
-5.504017395024576,360.0,68.0,-1.0,19.0, 0.42377622377622376
-3.2339993127429825,100.0,78.0,-2.47897305807018,9.0, 0.022377622377622374
-6.852926733840809,340.0,32.0,-3.9908105526339788,1.0, 0.032167832167832144
-7.0,350.0,32.0,-7.0,5.0, 0.46293706293706294
-5.4901902157703155,350.0,39.0,-3.37110948765768,1.0, 0.025174825174825166
-2.089631788947568,50.0,25.0,-3.067765217962276,1.0, 0.023776223776223772
-5.22576752035216,340.0,39.0,-1.0,1.0, 0.025174825174825187
-3.6757122942404923,200,82,-4.6403515426447495,5, 0.036363636363636334
-4.083374715069618,100.0,80.0,-2.006484050176025,9.0, 0.025174825174825166
-7.0,330.0,31.0,-1.0,1.0, 0.029370629370629377
-6.350472730763243,160,40,-5.288304961397273,19, 0.47132867132867134
-6.655716337627332,340.0,33.0,-2.7194915908620754,1.0, 0.026573426573426585
-3.014609246452096,380.0,62.0,-2.149238537675918,19.0, 0.03076923076923077
-6.253400723182777,420,40,-5.0098481679176,6, 0.13566433566433567
-4.528122265724296,440,53,-6.359207414311239,10, 0.5916083916083916
-4.463440364873623,50.0,27.0,-4.019934285049555,1.0, 0.018181818181818167
-5.5155911416399706,330.0,75.0,-2.9301303950031508,1.0, 0.025174825174825166
-4.4123208783133805,50.0,27.0,-2.144482346697889,1.0, 0.032167832167832186
-6.955082764527979,460,96,-4.8937737562244585,13, 0.03496503496503496
-2.6614292134142095,50.0,26.0,-7.0,12.0, 0.5552447552447553
-1.1135935600369509,140,63,-5.85893150409285,13, 0.5076923076923077
-5.945633779383767,410,58,-5.946930207447666,16, 0.5566433566433566
-7.0,330.0,64.0,-1.0,1.0, 0.023776223776223772
-3.923491304918626,100.0,79.0,-1.6183967918367153,9.0, 0.01958041958041956
-3.675781416185746,50.0,27.0,-5.263249201959393,1.0, 0.1706293706293706
-6.720652298447887,330.0,66.0,-1.363620553623126,1.0, 0.03076923076923077
-6.315959732684061,260,53,-4.749016615146498,14, 0.03076923076923077
-4.914481186144022,410.0,22.0,-3.510064840355632,3.0, 0.026573426573426585
-6.150939917954328,330.0,34.0,-3.4577292829570094,1.0, 0.032167832167832165
-6.147220624698264,310,40,-4.6136974867995235,12, 0.039160839160839164
-7.0,330.0,71.0,-3.909172853092357,1.0, 0.036363636363636376
-6.586058604972904,330.0,33.0,-2.4110256407047714,1.0, 0.02097902097902098
