alpha,b_size,layer_size,lr,num_layer,result
-6.5535253987429885,330.0,98.0,-1.0,5.0, 0.1202797202797203
-4.601546224472358,330.0,95.0,-1.0,2.0, 0.02797202797202798
-3.9770920445666396,330.0,95.0,-1.0,1.0, 0.036363636363636376
-4.730202720301841,330.0,95.0,-1.0,2.0, 0.029370629370629397
-1.1365347230879042,330.0,99.0,-3.8467173415444127,1.0, 0.02097902097902098
-3.101453623510838,330.0,91.0,-1.1194497978178497,2.0, 0.020979020979020956
-3.0505408753957606,330.0,92.0,-1.0119185171302558,2.0, 0.04195804195804198
-4.972469502139294,150.0,35.0,-2.756872236915174,15.0, 0.03356643356643356
-6.394343772182315,330.0,90.0,-2.797466568381579,1.0, 0.030769230769230792
-3.47598359188752,330.0,94.0,-4.56040392003671,6.0, 0.023776223776223793
-6.707109920564563,150.0,35.0,-3.217753003719086,14.0, 0.032167832167832186
-3.7098292166842657,150.0,37.0,-6.524313392429263,12.0, 0.5034965034965035
-4.017523871223009,190,99,-4.690589529118104,16, 0.029370629370629397
-5.287343890390493,330.0,91.0,-2.7696739331580558,5.0, 0.02097902097902098
-6.773665638861016,150.0,38.0,-1.0283526677973867,17.0, 0.3188811188811189
-5.529973363389688,150.0,32.0,-1.312714955098068,13.0, 0.1160839160839161
-6.29229504378517,150.0,38.0,-3.6429337677591325,11.0, 0.03356643356643359
-3.438468543060137,330.0,88.0,-2.958497512530599,3.0, 0.030769230769230792
-1.0,330.0,99.0,-1.4118780707119876,1.0, 0.03776223776223779
-6.61526308633884,150.0,37.0,-1.077747747502598,10.0, 0.10349650349650352
-3.260364130880717,330.0,94.0,-2.0628738488280876,8.0, 0.032167832167832186
-6.491536414668311,410.0,52.0,-5.1390934850300525,5.0, 0.11188811188811187
-5.820989185033469,410.0,51.0,-3.5567791309022527,3.0, 0.022377622377622374
-5.935025496569799,410.0,51.0,-3.668882887405744,3.0, 0.029370629370629377
-1.6652287573430231,150.0,37.0,-5.306249188913203,13.0, 0.3412587412587412
-1.6002070037671476,330.0,90.0,-2.551042631928327,7.0, 0.022377622377622353
-4.247949682327621,150.0,35.0,-4.519710403484901,15.0, 0.02657342657342656
-2.3138465374477084,150.0,37.0,-4.8836071462738735,13.0, 0.02797202797202798
-3.2625014429763026,150.0,37.0,-2.6104065200424333,14.0, 0.034965034965035
-3.64909400232703,330.0,96.0,-4.805311078750908,10.0, 0.022377622377622374
-2.896184240161704,150.0,37.0,-4.108721074924083,13.0, 0.03496503496503498
-4.933924594524889,410.0,51.0,-1.0,2.0, 0.04475524475524477
-3.779467825122778,330.0,96.0,-4.9559422926628764,10.0, 0.01958041958041956
-4.247166963253266,330.0,91.0,-5.134534074995553,9.0, 0.04055944055944054
-4.001548566814695,330.0,96.0,-5.027151394018334,10.0, 0.03776223776223779
-2.815897258905497,330.0,92.0,-1.9922506235693762,5.0, 0.029370629370629377
-6.076152236818819,340.0,21.0,-1.0,4.0, 0.03776223776223777
-4.483180310745388,330.0,88.0,-1.0,7.0, 0.32727272727272727
-4.289077683051644,330.0,91.0,-5.204907200544432,9.0, 0.051748251748251775
-4.301312775936807,410.0,51.0,-2.345062117425853,3.0, 0.01958041958041956
-1.0,330.0,96.0,-3.7846359098325952,9.0, 0.023776223776223748
-1.0,330.0,92.0,-4.251236879990586,8.0, 0.032167832167832214
-4.113986578157591,330.0,92.0,-4.772655621906144,9.0, 0.026573426573426585
-4.930118962157435,330.0,92.0,-3.2189903801897,3.0, 0.022377622377622374
-4.966543464159509,330.0,92.0,-3.1976452546779766,3.0, 0.026573426573426585
-1.0,410.0,54.0,-4.140973218843794,1.0, 0.05314685314685315
-1.0,330.0,94.0,-4.43339456608534,10.0, 0.02657342657342656
-2.9659469920662898,330.0,92.0,-3.537863891270564,7.0, 0.027972027972028003
-2.931406687909021,150.0,37.0,-4.470646610520938,14.0, 0.05034965034965035
-5.514093438558817,190.0,98.0,-3.874272616210292,12.0, 0.029370629370629377
-1.3812829807005351,190.0,96.0,-7.0,13.0, 0.47132867132867134
-2.8923506914495025,150.0,37.0,-4.513109722981885,14.0, 0.029370629370629397
-2.2990354122287626,390.0,28.0,-5.177827334431906,7.0, 0.4167832167832167
