b_size,drop_rate,l2,lr,mixup_0,mixup_1,mixup_2,mixup_3,mom,t_0,result
100,-0.08637781480750882,-1.3173099768876613,0.23148709540272794,2.6664922661959163,1.2614553806493454,0.21722134434875942,1.7038867147305,0.7472421993873458,134, 0.9057777777777778
70,-0.061252662678407906,-5.073143923593152,-2.367035572833644,2.5622360368027035,1.312927740003717,1.5654903671451468,1.8993487580995698,0.1315142202636774,46, 0.3897777777777779
60,0.08538317230126097,-1.462021339903922,-5.1389266427388325,0.7036349560266673,2.8767594175995383,1.2477225889817571,0.7598304661239936,0.10325875849477964,92, 0.8697777777777778
80,-0.0031271968588032634,-6.767276168767419,-6.44512656220796,2.0537022380774177,2.5368801831642256,2.7627627797900187,2.367306228657532,0.28101675920366087,23, 0.9044444444444444
50,0.0719090898506255,-5.173469834079355,-1.0567846423438958,1.232015360604755,2.976708465026607,0.36261502271406154,2.101050651092777,0.16373772888920657,27, 0.12577777777777788
50.0,-0.004808874222303263,-5.134174281383664,-0.7023339375603485,0.9208045412575976,3.0,0.2959853632722048,2.260125995040345,0.1,27.0, 0.09955555555555562
60,0.09090593333360505,-1.2464540181878947,-5.427976062154289,2.161577961657565,0.6496825005267507,1.9556434749372071,1.732684613424444,0.5050690024799809,63, 0.8902222222222222
50.0,-0.05603002797018509,-5.107924363823958,-0.4656480500027243,0.7130263660141223,3.0,0.2514896592331085,2.366330188630803,0.1,27.0, 0.08844444444444455
220,0.41304504875086834,-3.256355833799967,0.9927542489398348,0.04282667770719084,2.121854824912953,-0.01572670040436014,2.924145865767116,0.4334929750898998,76, 0.9057777777777778
50.0,-0.1,-4.8972940801169935,0.8201117049810341,-0.012529586075255686,3.0,0.1099341594398864,2.823497374560226,0.1,31.0, 0.0955555555555555
50.0,-0.1,-5.083342821262925,-0.24404267878565372,0.5185053663578402,2.996643954795899,0.20982817000412338,2.465757797996243,0.109171447449716,27.0, 0.07777777777777795
290,0.3005881974932287,-6.980589635834254,-3.636551344615647,0.5737497366605455,-0.04981694188258845,0.9683846261848559,0.05163570422237562,0.8577737325540613,21, 0.7657777777777778
50.0,-0.1,-5.033444176801983,0.1934421554234692,0.14315111231544966,3.0,0.12952517517634768,2.6593308388817123,0.1,27.0, 0.06888888888888911
50.0,-0.1,-1.0,1.0,-0.1,3.0,-0.1,3.0,0.1,27.0, 0.9057777777777778
130,0.239762179175558,-2.8441204951665835,-2.034609076797742,1.6816255044895105,1.9737405798815546,2.9238767725814094,0.9747025147683923,0.5832207686971991,57, 0.2857777777777778
50.0,-0.1,-5.315880681126353,0.24119342232382432,0.07662485336282832,3.0,0.1286451805151139,2.679509885540717,0.1,27.0, 0.06711111111111101
50.0,-0.1,-7.0,0.4710982554319054,-0.1,3.0,0.15460863570151176,2.7812930355927485,0.1,28.0, 0.0875555555555555
280,0.4888976643929366,-6.171578295072045,-3.802265098745235,1.4620909734585241,-0.035278305448503744,0.7431606509874765,1.1872468234876201,0.2913141158125528,130, 0.8711111111111112
50.0,-0.1,-5.895159842620016,0.4340970096828972,-0.1,3.0,-0.1,0.5347440451756185,0.1,29.0, 0.07777777777777783
50.0,-0.1,-5.689322629427729,0.35857394311698854,0.06000262560487212,3.0,0.13629949278681602,2.7250273036105246,0.1,28.0, 0.0768888888888889
240,0.17048842610569043,-3.940723287271112,-1.483015008007924,0.3019588188125808,2.318278770958977,0.7601017533570634,2.662221272306667,0.2416689572495925,146, 0.30400000000000005
50.0,-0.1,-7.0,1.0,-0.1,3.0,2.336452139756831,1.5774233650734515,0.1,32.0, 0.124
90,0.0001410873932190665,-4.243595343867229,-2.7936279634933965,1.0577702590478628,2.6051865665371223,0.540423394176357,2.0145483690689483,0.3836533244205514,150, 0.48844444444444457
50.0,-0.1,-6.16616975253702,0.7268310186788576,-0.1,3.0,0.04529747059034684,2.0990704682649626,0.1,30.0, 0.08533333333333326
50.0,-0.1,-7.0,1.0,-0.1,0.1291488524965428,-0.1,2.261945221217662,0.1,31.0, 0.10444444444444456
230,0.14737845367131577,-4.265456790398948,-1.4918178728697433,0.23030949802679637,1.7543565655063633,1.506369930561272,1.3489451590191428,0.19869872735543953,20, 0.29200000000000004
50.0,-0.1,-5.8501806431467065,0.20220909146031057,-0.1,3.0,0.36080527402952184,2.940197301772482,0.1,32.0, 0.0835555555555556
50.0,-0.1,-6.377317562018577,-1.8809999718072568,-0.1,2.556524881464566,-0.1,3.0,0.1,35.0, 0.1955555555555556
170,0.04924173331523765,-3.572099191721915,-0.14431499538567275,2.961800578629564,0.7779991666963397,1.1600793040523354,2.534996403559857,0.6583708341226056,17, 0.06755555555555559
50.0,-0.1,-5.324510775198015,0.26714089425689325,-0.1,2.986234741944647,0.04675832082340507,2.1371487194326404,0.1,27.0, 0.07644444444444431
170.0,0.1754487392689328,-5.646962976565825,-1.4550132102880649,1.6351245001900199,0.7962843700362755,0.2847444910973379,1.3365160727050338,0.2981279123642615,13.0, 0.27155555555555566
170.0,0.10688479168844717,-3.614153189412956,-0.5350658626550368,2.5699174285576825,0.6990206729720884,0.9561032974403557,2.2726949388180695,0.6179041092076454,17.0, 0.06400000000000006
110,-0.03963416283033134,-2.021834040163794,-3.066454417180308,2.911909698049606,0.902455110527844,1.2694871309417306,1.8105088124348732,0.6653472719406661,17, 0.5284444444444445
170.0,0.24138382199640637,-1.4251227262683965,-0.9170972344858939,2.1997381991037948,0.28994702762276625,0.9760305530120335,2.390407039940616,0.835625354347854,22.0, 0.8222222222222222
