alpha,b_size,layer_size,lr,num_layer,result
-4.2904222355567665,350,30,-2.8287733172570957,8, 0.027972027972028024
-3.886153129181519,390.0,85.0,-5.4076756434824755,15.0, 0.034965034965035
-3.5184243726904647,400.0,25.0,-1.9826446189245468,10.0, 0.034965034965035
-3.1775158426777446,390.0,86.0,-5.501652933468602,14.0, 0.08391608391608396
-2.92401022188551,270,50,-1.3218058944001165,7, 0.013986013986013957
-1.9384174283944515,160.0,41.0,-2.6822378171031973,18.0, 0.027972027972028024
-4.0724111323112355,310.0,80.0,-2.2055414780220985,11.0, 0.027972027972028024
-4.432169652269304,190,48,-1.7541706461436917,3, 0.027972027972028024
-1.0,420.0,62.0,-1.4460679637162217,4.0, 0.027972027972028024
-6.900032053964347,450.0,98.0,-2.7526012688373616,2.0, 0.0699300699300699
-5.2263096419117705,390.0,83.0,-4.001443673877558,14.0, 0.04195804195804198
-6.475241256060298,140,55,-3.162718437396105,13, 0.034965034965035
-2.878608892006152,420.0,63.0,-3.0648779701445408,4.0, 0.034965034965035
-6.319867932059382,180,28,-3.3616585744811984,17, 0.020979020979020935
-4.712055055487329,390.0,83.0,-4.00409831225777,14.0, 0.013986013986013957
-3.8224196828613906,420.0,63.0,-3.7541566236973436,3.0, 0.013986013986013957
-5.442904937759894,180.0,24.0,-3.574585686231692,18.0, 0.04895104895104896
-4.632347636434561,420.0,61.0,-1.540217447377802,4.0, 0.013986013986013957
-2.4451545694904633,380,22,-2.2123388565408875,6, 0.034965034965035
-5.330340372868495,310.0,80.0,-5.992826340434884,10.0, 0.6503496503496504
-2.5648891485919245,160.0,41.0,-2.8810838314465053,18.0, 0.04195804195804198
-4.512258089258756,380,89,-5.0202068794035295,6, 0.04895104895104896
-2.1583070331559933,110,50,-1.1566650037033734,7, 0.034965034965035
-4.935943199137913,310.0,80.0,-5.0887939861771345,10.0, 0.05594405594405594
-3.40668449654267,280.0,42.0,-3.0762548731742276,5.0, 0.006993006993006978
-3.7951635276961158,310.0,80.0,-1.6520167688974599,11.0, 0.08391608391608396
-3.3882373424128813,250,82,-3.2496994247307676,15, 0.027972027972028024
-4.1341274085658615,280.0,41.0,-3.4974497127907807,5.0, 0.027972027972028024
-3.196478686969171,280.0,41.0,-2.4643381183122246,4.0, 0.020979020979020935
-3.394343919487816,280.0,42.0,-2.9862449317027115,5.0, 0.034965034965035
-5.601581503054534,240,44,-1.8039817961907523,9, 0.04195804195804198
-2.963307018114776,420.0,61.0,-1.603401288592373,5.0, 0.020979020979020935
-3.275668924115122,230,71,-4.523176000338022,5, 0.04895104895104896
-1.5724209485724325,220,93,-1.2374366329052442,8, 0.04195804195804198
-4.734320403590916,310.0,80.0,-4.611607663220724,10.0, 0.020979020979020935
-3.4731069619064088,280.0,42.0,-3.4073535935222816,5.0, 0.020979020979020935
-2.7132710170388132,150,40,-2.1352094387952114,19, 0.013986013986013957
-3.1771686493841504,390.0,83.0,-4.026602228847306,15.0, 0.020979020979020935
-4.731609572005873,310.0,80.0,-4.604914730879853,10.0, 0.027972027972028024
-4.198701446133197,310.0,80.0,-2.554150046740036,11.0, 0.034965034965035
-3.210597636394969,390.0,83.0,-3.897938576946458,15.0, 0.027972027972028024
-2.8959588894675017,420.0,64.0,-4.217908660394317,3.0, 0.04895104895104896
-1.9305543888656116,390.0,82.0,-3.501241643375864,15.0, 0.034965034965035
-3.648810050742968,370,97,-4.31809558664967,13, 0.020979020979020935
-4.473948652364353,420.0,60.0,-1.3294896612680251,5.0, 0.04895104895104896
-4.3488705702611075,470,77,-2.7763364443670544,16, 0.027972027972028024
-4.130260655410801,420.0,62.0,-2.229985129204426,4.0, 0.020979020979020935
-2.1311007651814933,200,67,-2.289691439196134,16, 0.0699300699300699
-3.421851733028899,280.0,41.0,-3.191839821937148,5.0, 0.034965034965035
-2.6899280436200406,420.0,61.0,-1.9888223096311335,3.0, 0.05594405594405594
-1.4425362511475608,120,74,-1.8010097181195677,17, 0.3706293706293706
-4.317325650581216,390.0,83.0,-4.111388983041845,14.0, 0.034965034965035
-3.9664537163205176,280.0,41.0,-3.5550123635551487,3.0, 0.027972027972028024
-4.333227247987004,420.0,61.0,-2.006902575454918,4.0, 0.013986013986013957
-5.030545308187986,170,49,-2.6684511761173453,1, 0.020979020979020935
-4.301364823396351,390.0,83.0,-4.114249941977387,14.0, 0.013986013986013957
-1.989019495992017,390.0,82.0,-2.2022536699989836,16.0, 0.04195804195804198
-1.749381835530589,390.0,82.0,-2.8717323526628245,15.0, 0.034965034965035
-5.948147950752024,180.0,26.0,-3.452432920825541,17.0, 0.027972027972028024
-1.1135342870647065,80,54,-3.663844080227801,12, 0.04195804195804198
-6.170000189775925,180.0,27.0,-3.398210973772413,17.0, 0.020979020979020935
-3.6855480566087158,430,27,-2.3856999384101556,18, 0.034965034965035
-5.240095983728443,310.0,79.0,-1.949816661358668,10.0, 0.013986013986013957
-2.2551562964017546,130,58,-6.923422955557218,9, 0.49650349650349646
-1.1151938307275437,80,26,-3.6861482902799256,12, 0.006993006993006978
-3.6967768766901026,420.0,63.0,-3.5739796550046457,4.0, 0.027972027972028024
-4.441996269487538,390.0,85.0,-3.480865418573742,15.0, 0.034965034965035
-4.4959628986855815,390.0,83.0,-3.852675882559043,14.0, 0.034965034965035
-4.675991993769024,270.0,50.0,-1.8068421896898115,7.0, 0.04195804195804198
-2.364979607059107,480,72,-4.808426816543975,8, 0.06293706293706292
-2.266674654867524,420.0,61.0,-3.5791236676001628,5.0, 0.034965034965035
-3.654522587253758,280.0,42.0,-3.199895509875893,4.0, 0.027972027972028024
-1.0715842731229381,50,36,-3.0155055028239044,12, 0.027972027972028024
-4.449834310864526,390.0,83.0,-4.605682922167061,14.0, 0.027972027972028024
-1.4855373127050502,160.0,41.0,-1.1464488609137748,18.0, 0.027972027972028024
-6.676572785613306,210,95,-1.4737786899134657,11, 0.32867132867132864
-1.6835231574258749,280.0,41.0,-3.6836664039080467,3.0, 0.027972027972028024
-1.263024614463812,80,78,-4.785202943200487,12, 0.034965034965035
-2.0931209377076785,460,20,-4.470592346687443,12, 0.36363636363636365
-4.157931726947398,310.0,78.0,-2.551627524010707,9.0, 0.027972027972028024
-4.621490694618835,310.0,79.0,-2.217503252351992,10.0, 0.034965034965035
-3.081967607343961,440,26,-3.331928430286352,19, 0.006993006993006978
-2.574034831941433,270.0,49.0,-2.9929463954711304,6.0, 0.027972027972028024
-1.1151937759470574,80.0,26.0,-3.686148329923412,12.0, 0.013986013986013957
-3.0186174097234715,440,37,-5.100027293020833,19, 0.3776223776223776
-3.0819974374200902,440.0,26.0,-3.331888047596681,19.0, 0.013986013986013957
-2.5739090426025384,270.0,50.0,-3.0579136341597,8.0, 0.034965034965035
-3.291268149101184,290,31,-5.775038491786603,19, 0.4125874125874126
-2.8470929038325945,420.0,62.0,-4.863695309315574,3.0, 0.06293706293706292
-3.0277525755148864,280.0,41.0,-3.163973734334419,4.0, 0.013986013986013957
-4.855359443701619,260,53,-2.7365302104502396,13, 0.027972027972028024
-3.2718719033424484,370.0,97.0,-4.764651727697461,14.0, 0.020979020979020935
-2.677875801682388,270.0,51.0,-2.483830776109944,6.0, 0.013986013986013957
-2.3649657400013226,160.0,41.0,-2.177512964846504,18.0, 0.034965034965035
-1.1211213979357415,80.0,26.0,-3.7344300440969747,12.0, 0.027972027972028024
-7.0,260.0,53.0,-1.4369384255003403,13.0, 0.034965034965035
-2.792614774375659,270.0,50.0,-2.0990083996088096,7.0, 0.04195804195804198
-3.5392724495093266,60,88,-2.6210567537266978,19, 0.034965034965035
-3.0202589828204474,270.0,50.0,-1.0,7.0, 0.04195804195804198
-3.882372262352451,90,29,-2.3477014118665034,2, 0.04195804195804198
-1.4791626621956573,400.0,24.0,-4.90558599959977,12.0, 0.13286713286713292
-1.246157802642418,340,35,-4.345934736989066,19, 0.04195804195804198
-1.0,80.0,26.0,-1.0,11.0, 0.027972027972028024
-3.09255034314023,440.0,26.0,-3.262725611852068,19.0, 0.020979020979020935
-5.104001979515369,320,92,-2.8902480107617303,11, 0.04195804195804198
-4.532987626349458,370.0,98.0,-6.031768133531297,13.0, 0.4195804195804196
-3.554785644933423,420.0,63.0,-3.527819919984244,3.0, 0.020979020979020935
-3.951013289904375,100,46,-1.6873500352572814,16, 0.2517482517482518
