C,gamma,result
-7.1915494371113065,-0.4641851310012157, 0.26315789473684204
-5.811866003761272,-6.104646572604215, 0.26315789473684204
-1.83264776442772,-4.871497115302056, 0.26315789473684204
-6.748386246613866,-1.701245948661529, 0.26315789473684204
-2.214541753741144,-5.828026852521012, 0.2894736842105263
-0.5279168358737518,-1.7142090006253197, 0.7631578947368421
-1.8286642725276647,-4.8619801274573335, 0.13157894736842102
-7.848417537117857,-0.010148074498566861, 0.26315789473684204
-3.015411291255834,-4.472296070886317, 0.2894736842105263
-1.8738179427166632,-4.874452102242896, 0.3157894736842105
-5.023208160294267,-7.752034716917763, 0.23684210526315785
-8.0,-4.2033156665752776, 0.3157894736842105
-5.179600082553507,-7.716002797774667, 0.2894736842105263
-0.05083770251953634,-7.932762697421279, 0.2894736842105263
0.0,-8.0, 0.5263157894736842
-1.8663460179069562,-5.358816828876082, 0.23684210526315785
-3.814565485242787,-2.5814244665941635, 0.2894736842105263
-4.044893166595488,-6.0872422081867725, 0.2894736842105263
-2.0517951328839037,-5.172287115339352, 0.3157894736842105
-1.1424017721547153,-3.2394574044049023, 0.21052631578947367
-7.510640582155765,-8.0, 0.631578947368421
-1.7429297674251107,-4.82999306813549, 0.26315789473684204
-0.8823504508967228,-3.3180470662316686, 0.2894736842105263
-1.3805434476440523,-3.960646790032784, 0.2894736842105263
-1.4370936360603654,-4.01202783949819, 0.2894736842105263
-2.815721810983438,-6.914636642178342, 0.3157894736842105
-0.9885411447514107,-5.136863800101168, 0.3157894736842105
-1.6239750355638347,-4.87285311557688, 0.368421052631579
-2.713538537774199,-3.217935612933587, 0.26315789473684204
-4.647853561365887,-7.097779022507483, 0.23684210526315785
-1.9922358910792337,-3.8408412842467707, 0.2894736842105263
-3.4181234813804413,-0.9732494044533917, 0.2894736842105263
-5.429694798232568,-4.103462717426988, 0.2894736842105263
-4.639057724942184,-7.182498082342299, 0.3157894736842105
-0.026649022859871252,-2.353596374034906, 0.5526315789473685
-5.600563491367416,-0.5444671042866116, 0.23684210526315785
-7.153465423557866,-0.7429280947766127, 0.2894736842105263
-0.5209313151497912,-6.5310651004066465, 0.631578947368421
-5.194557875950333,-1.1118813002621344, 0.23684210526315785
-5.628034071963631,-0.6904208292550141, 0.21052631578947367
-2.437205482441299,-2.0577143011445806, 0.1578947368421053
-5.105627094612387,0.0, 0.2894736842105263
-2.6668381430399095,-2.247524694795646, 0.26315789473684204
-6.462766723430541,-1.4889323319840846, 0.26315789473684204
-5.76275018079242,-1.214479625693402, 0.21052631578947367
-2.683208225826135,-2.2730195131785695, 0.26315789473684204
-2.4463383125714557,-1.8476809753491164, 0.2894736842105263
-5.637389906112292,-1.2154544443422903, 0.23684210526315785
-5.673377554714675,-1.0629276509289023, 0.21052631578947367
-3.383468502738852,-5.551222437926773, 0.2894736842105263
-5.718733050235731,-1.0527507715677444, 0.631578947368421
-5.681773040499426,-1.0527977487206377, 0.2894736842105263
-0.5684485026048769,-2.886986155269542, 0.21052631578947367
-2.898946252459133,-2.750387823546607, 0.26315789473684204
-2.760811682229463,-2.53141265757092, 0.23684210526315785
-4.009189728928885,-3.4986715766525105, 0.2894736842105263
-2.7130679187430795,-2.666588028620702, 0.2894736842105263
-2.7628687267705088,-2.5627188029630976, 0.2894736842105263
-3.329720369605587,-4.536426273412944, 0.1842105263157895
-2.1048324090082167,-3.41799989393197, 0.26315789473684204
-2.840918826346069,-4.379810173207587, 0.26315789473684204
-4.353743851610738,-4.3152356856762815, 0.26315789473684204
-3.0590391735536406,-4.4557284244494415, 0.21052631578947367
-2.857330174896719,-4.3738229197620235, 0.26315789473684204
-2.2699036160223494,-0.2523614920837738, 0.2894736842105263
-3.203788688105781,-4.53084780390953, 0.3157894736842105
-3.083408554680909,-4.48665029902682, 0.26315789473684204
-3.6545802009666577,-6.013316798702019, 0.26315789473684204
-2.4010287208202596,-3.9787705019573947, 0.23684210526315785
-2.5975528997537984,-4.323278112775931, 0.39473684210526316
-1.309893662041941,-6.497637616056987, 0.21052631578947367
-4.642710566606352,-5.313781310937124, 0.631578947368421
-2.91905270257956,-2.7225008686057213, 0.23684210526315785
-4.250273642283888,-3.65262442055055, 0.2894736842105263
-2.6507698543991633,-2.23752969181302, 0.23684210526315785
-2.6505322726074114,-2.317046519277777, 0.26315789473684204
-1.6656050854854025,-3.0820935694697043, 0.5789473684210527
-2.647814304205914,-2.139808613948336, 0.21052631578947367
-2.838756922294936,-2.2340648481068617, 0.23684210526315785
-0.22768270702074833,-5.680231164481604, 0.26315789473684204
-2.806758064883794,-2.016405898568767, 0.21052631578947367
-2.6940838855144915,-2.1227431480198966, 0.1842105263157895
-3.801160912684651,-4.739992483438008, 0.21052631578947367
-2.766416756075241,-1.9890637973227623, 0.26315789473684204
-2.715721616307698,-2.043972469081833, 0.26315789473684204
-1.1025894920043964,-1.5845287265921648, 0.5263157894736842
-3.5943850027320394,-4.426254893245234, 0.1842105263157895
-2.748858524371185,-2.063737918179827, 0.2894736842105263
-0.798119231502106,-5.12246912397317, 0.2894736842105263
-3.622431233060156,-4.343954001069934, 0.26315789473684204
-3.5922691727094826,-4.409191538941596, 0.23684210526315785
-6.224063314249445,-3.7847480766408275, 0.23684210526315785
-3.583412445332165,-4.448219337787103, 0.2894736842105263
-3.563014071003493,-4.453084895351644, 0.23684210526315785
-1.8559953624546117,-6.542385748626739, 0.26315789473684204
-3.5511668061641997,-4.470886334181694, 0.3157894736842105
-3.5401420731269586,-4.455454937321456, 0.26315789473684204
-4.781747262673957,-6.210264165589289, 0.2894736842105263
-0.43258043784072975,-3.649886040622243, 0.23684210526315785
-2.737511429318506,-2.076687147229965, 0.4736842105263157
-1.5199811131161365,-0.19131779908748436, 0.4736842105263157
-0.3952320009180151,-3.8768287581952006, 0.2894736842105263
-3.4399936265571167,-4.237666421262198, 0.26315789473684204
-0.7551323798986052,-1.3277434506470116, 0.8421052631578947
-6.340257078874985,-2.9831944497614495, 0.2894736842105263
-3.4672824093260086,-4.254825812881721, 0.631578947368421
-4.300613173038286,-5.008534254003029, 0.2894736842105263
-3.3756809025163594,-2.0218887952755984, 0.2894736842105263
-3.1793005231781595,-2.1635798501007986, 0.26315789473684204
-2.0982946190075547,-7.617339206986649, 0.631578947368421
-3.1747491919507005,-2.2044119925738146, 0.2894736842105263
-3.0421796414497977,-2.246225461712501, 0.2894736842105263
-2.300517008188892,-1.7585925877031108, 0.2894736842105263
-8.0,-1.8110726767990188, 0.3157894736842105
-2.929331778904139,-2.2307454907418625, 0.2894736842105263
-1.297126754651491,-3.1893065947906796, 0.26315789473684204
-2.767800602361062,-5.393769694570014, 0.21052631578947367
-2.9059563158303674,-2.2417826787220543, 0.3157894736842105
-1.9451353098331972,-5.927574347076231, 0.26315789473684204
-2.7706169475381066,-5.432193200273132, 0.2894736842105263
-2.7426681422587897,-5.404806365998659, 0.23684210526315785
-3.8022848453735856,-4.707446940709619, 0.3157894736842105
-2.7357369979580635,-5.427001468584957, 0.5263157894736842
-2.68910179827444,-5.408303124930665, 0.1842105263157895
-4.114714188730844,-5.719274670687458, 0.26315789473684204
-0.4348474263061322,-4.147352931682572, 0.3157894736842105
-3.0022847691704477,-2.2308614608608814, 0.2894736842105263
-1.1145628580446636,-7.415438600645844, 0.26315789473684204
-4.017104429186426,0.0, 0.6052631578947368
-2.9644958572867983,-2.268096355206226, 0.44736842105263164
-5.299761996217974,-6.396113400099905, 0.2894736842105263
-6.495540563255811,0.0, 0.2894736842105263
-3.2356466328324154,-4.870758592392577, 0.26315789473684204
-0.16724986795279362,-0.8240871454421392, 0.9210526315789473
-5.485585017963653,-2.7235555705538723, 0.26315789473684204
-6.050284136235243,-3.189704057269668, 0.26315789473684204
-1.7308432581872555,-1.425113784075315, 0.3157894736842105
-5.596237631702939,-2.672365730443629, 0.1842105263157895
-5.879490639909275,-3.0435896717843662, 0.21052631578947367
-5.930910921645238,-0.399933648154184, 0.26315789473684204
-5.529317901992417,-2.6785604489607295, 0.21052631578947367
-5.634754474942588,-2.7705174617171817, 0.21052631578947367
-4.555422964755241,-3.42013975905988, 0.631578947368421
-5.492818752492648,-2.678991275335361, 0.2894736842105263
-5.924671272299714,-2.5455069970348356, 0.21052631578947367
-2.4201133420168413,-6.793530910230786, 0.23684210526315785
-6.054999756230847,-2.473901182192436, 0.2894736842105263
-5.992606052668561,-2.53533359294713, 0.5789473684210527
-7.180980895168263,-6.185546043201081, 0.631578947368421
-6.522043714431127,-3.781863301228341, 0.2894736842105263
-2.207068498763672,-5.6330032107118875, 0.21052631578947367
-1.3831653548397322,-5.79461220758239, 0.21052631578947367
-2.184023756939485,-5.7563338805761, 0.1578947368421053
-1.975795883680341,-5.728765979132404, 0.5263157894736842
-4.89565129744343,-4.992690227264736, 0.23684210526315785
-8.0,0.0, 0.3157894736842105
-2.7370153464679032,-5.20697042370597, 0.23684210526315785
-0.8581302983345935,-7.034712916439105, 0.2894736842105263
-2.789332081827871,-5.24172755529442, 0.2894736842105263
-2.7691897262341594,-5.1883887009169705, 0.23684210526315785
-1.5581256914985682,-6.780747463978346, 0.1842105263157895
-2.803940651357419,-5.197352628145345, 0.26315789473684204
-2.828271087902022,-5.1806580225393715, 0.2894736842105263
-0.6965946096780358,-4.0608312695266235, 0.2894736842105263
-6.690636075426274,0.0, 0.1578947368421053
-2.8439124803707583,-5.163002100136789, 0.2894736842105263
-7.63008218737444,-0.5579405564622915, 0.26315789473684204
-6.6848069245888375,0.0, 0.2894736842105263
-6.713328416514571,0.0, 0.26315789473684204
-6.932688198777812,-4.711417391407919, 0.2894736842105263
-6.725514877848568,0.0, 0.2894736842105263
-6.728311101371361,0.0, 0.2894736842105263
-0.9604952637967727,-7.89155135571357, 0.26315789473684204
-6.725137540378832,0.0, 0.2894736842105263
-6.696588267310058,-0.09391372241837727, 0.1578947368421053
-1.2124282734634295,-5.988842704869619, 0.2894736842105263
-6.675504111255338,0.0, 0.26315789473684204
-6.68017638818921,-0.08854104373143168, 0.23684210526315785
-7.341986354256195,-0.8814448965743381, 0.5
-6.664154132660218,0.0, 0.631578947368421
-6.483925717436743,0.0, 0.23684210526315785
-1.6598889045715741,-7.294002912592321, 0.23684210526315785
-6.371409473157184,-3.4656521955764354, 0.21052631578947367
-2.228072268304434,-5.845517851334789, 0.26315789473684204
-7.743272192868864,-6.621692301037262, 0.2894736842105263
-6.444737569094244,-3.4967217355966542, 0.2894736842105263
-6.293817792141687,-3.4355095642441946, 0.23684210526315785
-7.318140113177185,-6.180645225994374, 0.2894736842105263
-6.325628283491113,-3.4734543041280768, 0.26315789473684204
-6.2903745762159105,-3.4388468916213504, 0.26315789473684204
-5.0378701315338015,-6.299981067645221, 0.2894736842105263
-6.340718503342625,-3.4886856480967525, 0.1842105263157895
-6.290709266497673,-3.44852326960273, 0.26315789473684204
-6.965720818484793,-0.6257523266543803, 0.3157894736842105
-6.377599597801089,-3.528487036959371, 0.26315789473684204
-6.3289817056155195,-3.4954131256353778, 0.2894736842105263
-2.532769509602344,-1.2350054758039968, 0.3157894736842105
-6.345753102629139,-3.5166294812012455, 0.3157894736842105
-6.3164909681475345,-3.4830419624369577, 0.21052631578947367
-5.230841789169899,-0.3947905504908425, 0.2894736842105263
-6.326385265128615,-3.498954631637477, 0.26315789473684204
-6.301943570650835,-3.4761352785327975, 0.42105263157894735
-7.4705301252771426,-0.21029804866869967, 0.21052631578947367
